scientific name,English name,number of people seeing species
Catreus wallichii,Cheer Pheasant,0
Lophura nycthemera,Silver Pheasant,2
Lophura leucomelanos,Kalij Pheasant,11
Lophura diardi,Siamese Fireback,1
Lophura bulweri,Bulwer's Pheasant,0
Lophura edwardsi,Edwards's Pheasant,0
Lophura swinhoii,Swinhoe's Pheasant,1
Lophura inornata,Salvadori's Pheasant,0
Lophura erythrophthalma,Crestless Fireback,0
Lophura ignita,Crested Fireback,2
Perdix perdix,Gray Partridge,21
Perdix dauurica,Daurian Partridge,1
Perdix hodgsoniae,Tibetan Partridge,1
Pucrasia macrolopha,Koklass Pheasant,0
Tetrao urogalloides,Black-billed Capercaillie,0
Tetrao urogallus,Western Capercaillie,3
Tetrao tetrix,Black Grouse,2
Tetrao mlokosiewiczi,Caucasian Grouse,2
Tetrastes bonasia,Hazel Grouse,2
Tetrastes sewerzowi,Severtzov's Grouse,0
Bonasa umbellus,Ruffed Grouse,49
Centrocercus urophasianus,Greater Sage-Grouse,16
Centrocercus minimus,Gunnison Sage-Grouse,6
Falcipennis falcipennis,Siberian Grouse,0
Falcipennis canadensis,Spruce Grouse,30
Lagopus lagopus,Willow Ptarmigan,21
Lagopus muta,Rock Ptarmigan,10
Lagopus leucura,White-tailed Ptarmigan,21
Dendragapus obscurus,Dusky Grouse,23
Dendragapus fuliginosus,Sooty Grouse,21
Tympanuchus phasianellus,Sharp-tailed Grouse,24
Tympanuchus cupido,Greater Prairie-Chicken,20
Tympanuchus pallidicinctus,Lesser Prairie-Chicken,8
Meleagris gallopavo,Wild Turkey,56
Meleagris ocellata,Ocellated Turkey,9
Phoenicopterus chilensis,Chilean Flamingo,6
Phoenicopterus ruber,American Flamingo,15
Phoenicopterus roseus,Greater Flamingo,25
Phoeniconaias minor,Lesser Flamingo,14
Phoenicoparrus andinus,Andean Flamingo,5
Phoenicoparrus jamesi,James's Flamingo,5
Rollandia rolland,White-tufted Grebe,6
Rollandia microptera,Titicaca Grebe,2
